design_name,parts,,,,,,,,,,,,,,,,,,,,,,
1,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
2,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
3,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
4,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
5,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
6,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
7,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
8,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
9,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
10,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
11,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
12,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
13,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
14,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
15,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
16,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
17,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
18,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
19,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
20,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
21,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
22,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
23,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
24,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
25,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
26,5OH,P2,Z1,R2,C2,Sp1,Rb1,Ps1,Pe1,Op1,Ori1,Ins1,T1,Sc1,ES,5SRS,RS,BRS,PBS,3SRS,UD,Sig,3OH
27,5OH,rP2,rZ1,rR2,rC2,rSp1,rRb1,rPs1,rPe1,rOp1,rOri1,rIns1,rT1,rSc1,rES,r5SRS,rRS,rBRS,rPBS,r3SRS,rUD,rSig,3OH
